#Name, Period(days), Distance(kpc), V(mag), J(mag), H(mag), K(mag), E(mag), Z([Fe/H])
AP Vel, 3.128, 1.798, 10.000, 7.780, 7.351, 7.170, 0.460, -0.070
V1048 Cen, 0.922, 2.289, 10.600, 9.113, 8.799, 8.622, 0.387, -0.190
U Aql, 7.024, 0.275, 6.450, 4.390, 3.990, 3.870, 0.377, 0.140
BC Aql, 2.905, 4.907, 13.145, 11.634, 11.283, 11.180, 0.348, -0.310
EV Aql, 38.705, 34.130, 11.900, 8.990, 8.369, 8.162, 0.705, 0.030
KL Aql, 6.108, 4.380, 10.170, 8.488, 8.114, 7.979, 0.228, 0.300
V0336 Aql, 7.304, 2.127, 9.850, 7.155, 6.676, 6.521, 0.630, 0.150
V0493 Aql, 2.988, 2.501, 11.040, 8.464, 8.001, 7.817, 0.730, 0.000
V0526 Aql, 4.210, 2.267, 12.780, 9.609, 9.174, 8.981, 0.924, 0.470
V0916 Aql, 13.441, 2.094, 10.780, 7.362, 6.751, 6.551, 1.024, 0.360
V1344 Aql, 7.477, 0.913, 7.770, 5.184, 4.720, 4.573, 0.588, 0.120
AS Aur, 3.175, 15.129, 11.920, 9.773, 9.331, 9.206, 0.385, 0.000
AX Aur, 3.047, 6.752, 12.420, 9.936, 9.479, 9.320, 0.562, -0.080
CO Aur, 1.784, 1.045, 8.250, 6.314, 6.004, 5.873, 0.207, -0.040
FF Aur, 2.120, 14.124, 13.730, 11.661, 11.070, 10.907, 0.543, -0.540
GT Aur, 4.405, 8.953, 12.190, 10.407, 10.083, 9.978, 0.356, -0.050
AC Cam, 4.157, 4.496, 12.610, 9.325, 8.752, 8.499, 0.904, -0.160
AM Cam, 3.997, 5.886, 13.520, 10.179, 9.517, 9.313, 0.972, -0.160
CK Cam, 3.295, 0.786, 7.540, 5.442, 5.122, 4.962, 0.404, 0.060
LO Cam, 12.639, 7.570, 11.045, 7.941, 7.400, 7.252, 0.517, -0.050
MN Cam, 8.196, 3.328, 12.289, 8.219, 7.609, 7.348, 0.613, -0.020
MQ Cam, 6.600, 4.484, 12.947, 9.255, 8.586, 8.310, 0.645, -0.140
SS CMa, 12.361, 4.970, 9.930, 7.292, 6.797, 6.568, 0.551, 0.060
TV CMa, 4.670, 3.188, 10.590, 8.028, 7.570, 7.401, 0.574, 0.010
RS Cas, 6.296, 1.702, 9.940, 6.767, 6.212, 6.004, 0.797, 0.150
UZ Cas, 4.260, 6.729, 11.370, 9.155, 8.679, 8.522, 0.469, -0.080
VV Cas, 6.207, 2.989, 10.780, 8.325, 7.868, 7.734, 0.489, -0.070
VW Cas, 5.994, 4.093, 10.750, 8.343, 7.844, 7.675, 0.523, 0.160
AP Cas, 6.847, 5.488, 11.560, 8.788, 8.189, 7.982, 0.769, 0.020
AS Cas, 3.021, 3.122, 12.240, 9.404, 8.837, 8.622, 0.815, -0.010
AW Cas, 4.278, 3.040, 12.060, 8.774, 8.206, 7.919, 0.860, 0.000
AY Cas, 2.872, 3.577, 11.540, 9.055, 8.545, 8.315, 0.760, -0.010
BF Cas, 3.630, 4.054, 12.470, 9.568, 9.032, 8.840, 0.731, -0.080
BP Cas, 6.273, 2.675, 10.930, 7.842, 7.275, 7.042, 0.864, 0.060
BV Cas, 5.400, 3.479, 12.400, 9.015, 8.394, 8.072, 0.978, -0.010
BY Cas, 3.221, 2.079, 10.370, 7.637, 7.199, 7.035, 0.760, 0.090
CD Cas, 7.801, 2.614, 10.780, 7.631, 7.077, 6.896, 0.745, 0.100
CG Cas, 4.365, 4.472, 11.380, 8.903, 8.299, 8.109, 0.667, 0.060
CT Cas, 3.811, 3.303, 12.260, 9.455, 8.810, 8.600, 0.745, -0.080
CZ Cas, 5.664, 4.371, 11.740, 8.622, 8.124, 7.855, 0.761, 0.040
DW Cas, 4.998, 2.815, 11.120, 8.195, 7.671, 7.420, 0.807, 0.030
EX Cas, 4.305, 6.262, 12.820, 9.556, 8.944, 8.742, 0.731, -0.100
FW Cas, 6.237, 3.851, 12.440, 9.408, 8.716, 8.393, 0.857, -0.120
GL Cas, 4.007, 7.893, 12.760, 9.778, 9.432, 9.216, 0.697, 0.000
GM Cas, 7.469, 2.662, 11.880, 7.823, 7.135, 6.870, 1.138, -0.130
GO Cas, 3.239, 4.539, 13.220, 9.718, 9.160, 8.898, 1.040, 0.090
HK Cas, 2.500, 12.240, 14.310, 12.016, 11.831, 11.668, 0.376, 0.420
KK Cas, 8.192, 5.441, 11.930, 8.632, 7.998, 7.774, 0.932, 0.100
LT Cas, 5.905, 13.021, 12.520, 9.733, 9.264, 9.074, 0.677, -0.390
NP Cas, 6.171, 3.915, 13.590, 9.584, 8.876, 8.550, 1.108, -0.020
OP Cas, 5.513, 2.945, 11.910, 8.778, 8.207, 7.966, 0.953, 0.110
OZ Cas, 5.080, 1.822, 13.490, 8.491, 7.482, 7.074, 1.531, 0.030
PW Cas, 4.000, 6.439, 13.070, 10.246, 9.679, 9.483, 0.681, -0.090
V0342 Cas, 3.920, 3.929, 12.030, 9.010, 8.510, 8.327, 0.681, 0.000
V0395 Cas, 4.038, 4.050, 10.760, 8.446, 8.001, 7.874, 0.565, -0.010
V0407 Cas, 4.585, 7.199, 12.000, 9.404, 8.890, 8.673, 0.713, 0.080
V0556 Cas, 6.041, 3.929, 12.550, 8.883, 8.292, 7.984, 0.774, -0.040
V1017 Cas, 5.030, 8.230, 12.378, 9.766, 9.289, 9.100, 0.516, -0.210
V1019 Cas, 3.620, 3.037, 11.550, 8.390, 7.813, 7.566, 0.645, 0.040
V1020 Cas, 4.740, 2.939, 13.303, 9.286, 8.569, 8.276, 0.613, 0.120
AK Cep, 7.233, 3.776, 11.220, 8.404, 7.884, 7.740, 0.634, 0.020
CN Cep, 9.502, 3.535, 12.360, 8.316, 7.627, 7.367, 1.100, 0.030
DR Cep, 19.066, 25.707, 12.850, 9.471, 8.851, 8.695, 0.733, -0.170
IY Cep, 5.657, 7.168, 12.840, 9.871, 9.123, 8.843, 0.854, 0.080
MU Cep, 3.768, 4.458, 12.250, 9.370, 8.783, 8.632, 0.783, 0.150
EP Cyg, 4.289, 6.817, 12.730, 10.120, 9.675, 9.520, 0.645, -0.090
EU Cyg, 14.987, 37.037, 13.910, 10.177, 9.679, 9.456, 1.049, -0.230
EX Cyg, 4.851, 7.855, 12.980, 9.665, 9.023, 8.752, 1.013, 0.220
EZ Cyg, 11.660, 4.623, 11.050, 8.192, 7.655, 7.496, 0.775, 0.250
EZ Vel, 34.535, 34.602, 12.430, 8.884, 8.203, 7.914, 0.912, -0.170
GH Cyg, 7.818, 2.498, 9.900, 7.256, 6.787, 6.614, 0.608, 0.180
GI Cyg, 5.782, 4.715, 11.740, 8.756, 8.225, 7.985, 0.734, 0.240
GL Cyg, 3.371, 30.303, 13.720, 11.173, 10.633, 10.481, 0.752, 0.020
IY Cyg, 21.753, 11.136, 13.090, 9.523, 8.637, 8.328, 1.126, -0.120
KX Cyg, 20.047, 2.523, 11.940, 6.838, 5.980, 5.621, 1.658, 0.180
V0347 Cyg, 8.736, 9.785, 12.490, 8.874, 8.237, 7.969, 1.034, 0.220
V0356 Cyg, 5.058, 7.092, 12.430, 9.802, 9.271, 9.046, 0.731, 0.140
V0396 Cyg, 33.247, 1.761, 11.410, 6.031, 5.037, 4.619, 1.079, 0.080
V0438 Cyg, 11.211, 1.860, 10.950, 6.764, 6.060, 5.757, 1.222, 0.300
V0459 Cyg, 7.251, 2.585, 10.600, 7.601, 7.058, 6.883, 0.775, 0.060
V0492 Cyg, 7.580, 6.378, 12.390, 8.750, 8.145, 7.859, 1.001, 0.210
V0495 Cyg, 6.718, 2.312, 10.630, 7.105, 6.526, 6.287, 0.965, 0.210
V0514 Cyg, 5.099, 1.893, 11.430, 7.637, 6.998, 6.737, 1.071, 0.150
V0520 Cyg, 4.049, 1.895, 10.850, 8.229, 7.755, 7.590, 0.754, 0.050
V0538 Cyg, 6.119, 2.393, 10.440, 7.795, 7.294, 7.136, 0.656, 0.020
V0547 Cyg, 6.225, 9.653, 13.400, 10.065, 9.530, 9.316, 0.936, 0.120
V0609 Cyg, 31.088, 5.862, 11.000, 6.800, 6.108, 5.817, 1.243, 0.190
V0621 Cyg, 5.864, 10.560, 11.750, 9.367, 8.735, 8.540, 0.525, 0.090
V1020 Cyg, 4.920, 5.426, 13.730, 9.697, 8.958, 8.655, 1.249, 0.260
V1025 Cyg, 6.962, 4.077, 12.990, 9.534, 8.849, 8.562, 1.045, 0.200
V1033 Cyg, 4.950, 2.951, 13.070, 9.503, 8.918, 8.673, 1.003, 0.090
V1046 Cyg, 4.944, 3.752, 12.350, 8.978, 8.257, 8.012, 1.074, 0.200
V1364 Cyg, 12.976, 7.252, 13.260, 9.088, 8.337, 8.089, 1.224, 0.260
V1397 Cyg, 4.640, 3.598, 12.010, 9.127, 8.507, 8.262, 0.677, -0.020
EK Del, 2.047, 7.107, 12.311, 11.292, 10.953, 10.887, 0.119, -1.570
BW Gem, 2.635, 3.039, 12.000, 9.803, 9.350, 9.212, 0.554, -0.220
DF Lac, 4.479, 5.821, 11.900, 9.429, 9.054, 8.848, 0.566, 0.010
FQ Lac, 11.266, 5.821, 13.729, 11.234, 10.278, 9.630, 0.547, -0.230
V0411 Lac, 2.908, 1.351, 7.820, 6.309, 6.033, 5.929, 0.148, -0.010
TY Mon, 4.023, 4.474, 11.720, 9.310, 8.853, 8.705, 0.538, 0.020
VZ Mon, 5.090, 5.528, 13.610, 10.088, 9.421, 9.132, 0.979, -0.100
YY Mon, 3.455, 5.528, 13.740, 11.314, 10.802, 10.638, 0.630, -0.490
BE Mon, 2.705, 2.409, 10.580, 8.267, 7.842, 7.714, 0.549, 0.050
BV Mon, 3.014, 4.211, 11.360, 9.016, 8.572, 8.458, 0.575, 0.040
CS Mon, 6.732, 3.469, 10.990, 8.634, 8.160, 7.949, 0.528, -0.110
FT Mon, 3.422, 6.406, 12.730, 10.453, 10.236, 9.789, 0.277, -0.130
V0446 Mon, 1.919, 10.373, 14.400, 11.301, 10.791, 10.585, 0.835, -0.330
V0447 Mon, 2.484, 7.386, 14.110, 10.111, 10.331, 10.854, 0.931, -0.400
DF Ori, 3.181, 7.605, 13.510, 10.618, 10.090, 9.834, 0.733, -0.310
AU Peg, 2.412, 0.597, 9.233, 7.855, 7.477, 7.213, 0.099, 0.460
QQ Per, 11.194, 6.868, 13.714, 11.668, 11.238, 11.046, 0.099, -0.670
SX Per, 4.290, 4.318, 11.140, 8.767, 8.335, 8.205, 0.537, -0.060
UY Per, 5.365, 2.735, 11.310, 8.079, 7.536, 7.334, 0.888, 0.150
VY Per, 5.532, 2.537, 11.260, 7.829, 7.247, 7.013, 0.948, 0.010
DW Per, 3.650, 3.771, 11.580, 9.181, 8.733, 8.537, 0.620, -0.080
HZ Per, 11.279, 4.757, 13.800, 9.127, 8.324, 8.035, 1.306, -0.280
Y Sct, 10.341, 2.329, 9.630, 6.456, 5.881, 5.663, 0.792, 0.200
TY Sct, 11.053, 3.116, 10.800, 7.226, 6.620, 6.400, 0.930, 0.340
BX Sct, 6.411, 2.767, 12.230, 7.834, 7.147, 6.774, 1.319, 0.250
CK Sct, 7.415, 1.832, 10.580, 7.380, 6.806, 6.627, 0.816, 0.180
CM Sct, 3.917, 2.657, 11.100, 8.300, 7.818, 7.558, 0.775, 0.120
CN Sct, 9.992, 2.183, 12.480, 7.821, 7.055, 6.730, 1.323, 0.300
AA Ser, 17.141, 4.502, 12.250, 7.544, 6.758, 6.491, 1.295, 0.380
DV Ser, 23.054, 7.194, 13.640, 8.595, 7.843, 7.471, 2.059, 0.440
DG Sge, 4.437, 3.032, 13.220, 9.135, 8.526, 8.275, 1.342, 0.100
GX Sge, 12.900, 4.480, 12.450, 8.261, 7.561, 7.310, 1.231, 0.260
GY Sge, 51.790, 4.235, 10.200, 5.530, 4.827, 4.546, 1.183, 0.260
AV Tau, 3.616, 3.945, 12.330, 9.195, 8.635, 8.441, 0.838, -0.030
AS Vul, 12.225, 3.998, 12.220, 8.374, 7.715, 7.489, 1.170, 0.190
DG Vul, 13.608, 3.237, 11.380, 7.331, 6.642, 6.373, 1.187, 0.160
FO Car, 10.357, 3.923, 10.710, 8.158, 7.564, 7.412, 0.467, -0.440
OO Cen, 12.880, 7.974, 11.970, 8.196, 7.593, 7.309, 0.991, 0.200
TX Cen, 17.098, 2.912, 10.550, 6.660, 6.553, 5.971, 0.941, 0.440
RW CMa, 5.730, 3.605, 11.120, 8.421, 8.023, 7.783, 0.461, -0.070
IQ Nor, 8.220, 1.882, 9.680, 6.679, 6.339, 6.021, 0.676, 0.220
RS Nor, 6.198, 2.373, 10.000, 7.074, 6.802, 6.004, 0.577, 0.180
BM Pup, 7.199, 5.084, 10.820, 8.340, 7.904, 7.620, 0.575, -0.070
CK Pup, 7.420, 16.103, 13.330, 10.273, 9.703, 9.456, 0.581, -0.130
WY Pup, 5.251, 6.150, 10.600, 8.902, 8.530, 8.395, 0.259, -0.100
WZ Pup, 5.027, 6.309, 10.320, 8.611, 8.351, 8.231, 0.196, -0.070
V0470 Sco, 16.262, 2.091, 10.980, 5.886, 5.245, 4.429, 1.550, 0.160
X Sct, 4.198, 2.006, 10.010, 7.387, 6.940, 6.805, 0.581, 0.120
CR Ser, 5.301, 1.492, 10.850, 7.335, 6.746, 6.520, 0.974, 0.120
AY Sgr, 6.570, 2.127, 10.540, 7.122, 6.518, 6.299, 0.840, 0.110
V1954 Sgr, 6.179, 2.309, 10.830, 8.116, 7.402, 7.077, 0.823, 0.240
V0773 Sgr, 5.748, 1.881, 12.360, 7.597, 6.622, 6.200, 1.529, 0.110
EK Pup, 2.626, 4.735, 10.660, 8.793, 8.442, 8.290, 0.308, -0.150
SU Sct, 1.468, 2.802, 13.663, 11.647, 11.330, 11.133, 0.431, 0.300
V5567 Sgr, 9.763, 1.659, 10.550, 7.195, 6.702, 6.346, 0.960, 0.100
ASAS J181024-2049.6, 24.399, 3.252, 13.525, 7.874, 6.960, 6.400, 1.419, 0.470
ASAS J171305-4323.0, 9.561, 3.252, 12.645, 8.017, 7.218, 6.684, 1.581, 0.350
ASAS J184443-0401.5, 13.833, 1.628, 10.026, 6.068, 5.598, 4.998, 1.261, 0.110
